iter	RMSE
0	0.003111260764
1	0.003110661472
2	0.003110230254
3	0.003109764858
4	0.003109218448
5	0.003108721153
6	0.003108247275
7	0.003107693294
8	0.003107244035
9	0.003106727997
10	0.003106220612
11	0.003105728557
12	0.003105294428
13	0.003104812716
14	0.003104310582
15	0.003103818065
16	0.003103384146
17	0.00310292313
18	0.003102500857
19	0.003102025233
20	0.003101647069
21	0.003101197729
22	0.003100726999
23	0.003100375575
24	0.003100016152
25	0.003099629305
26	0.003099234925
27	0.003098797657
28	0.003098465605
29	0.003098100863
30	0.003097667418
31	0.00309725829
32	0.003096917468
33	0.003096518599
34	0.003096100871
35	0.003095654712
36	0.003095338743
37	0.003094996275
38	0.003094640054
39	0.00309422925
40	0.003093895272
41	0.003093544667
42	0.003093242682
43	0.003092846849
44	0.003092473466
45	0.003092163237
46	0.003091787378
47	0.003091462234
48	0.003091106724
49	0.00309073824
50	0.003090438695
51	0.003090140878
52	0.003089856287
53	0.003089485099
54	0.003089185592
55	0.003088796429
56	0.003088447642
57	0.003088161458
58	0.003087856549
59	0.00308755065
60	0.003087258469
61	0.003086919899
62	0.003086631015
63	0.003086382236
64	0.003086077151
65	0.003085796344
66	0.003085497439
67	0.003085241371
68	0.003084934414
69	0.003084696537
70	0.003084384885
71	0.003084116565
72	0.003083796533
73	0.003083546886
74	0.003083316744
75	0.003083076342
76	0.003082816391
77	0.003082574348
78	0.003082312434
79	0.003082033526
80	0.003081784536
81	0.003081487804
82	0.003081141073
83	0.003080867985
84	0.003080655904
85	0.003080406163
86	0.003080170339
87	0.003079941708
88	0.003079721872
89	0.003079433755
90	0.003079222217
91	0.00307892684
92	0.003078653556
93	0.003078443086
94	0.003078211761
95	0.003077956851
96	0.003077682999
97	0.003077443119
98	0.003077265281
99	0.003077037235
100	0.00307675448
101	0.003076460471
102	0.003076217447
103	0.003076015634
104	0.003075745621
105	0.003075498208
106	0.003075319776
107	0.003075126249
108	0.00307492934
109	0.003074721825
110	0.003074503222
111	0.003074271761
112	0.003074045259
113	0.003073806539
114	0.003073577595
115	0.003073298536
116	0.003073111466
117	0.003072889536
118	0.003072684935
119	0.003072441773
120	0.003072250153
121	0.003072023663
122	0.003071859648
123	0.003071622525
124	0.003071416555
125	0.003071149029
126	0.003070912816
127	0.00307066405
128	0.003070470229
129	0.003070298416
130	0.003070083356
131	0.003069849472
132	0.003069658333
133	0.003069506571
134	0.003069324736
135	0.00306916942
136	0.003068977435
137	0.003068776754
138	0.003068577025
139	0.00306834769
140	0.00306822015
141	0.003068013468
142	0.003067825432
143	0.003067674866
144	0.003067534428
145	0.003067345397
146	0.003067104708
147	0.003066929971
148	0.003066724651
149	0.003066550536
150	0.003066441106
151	0.003066199702
152	0.003065993689
153	0.003065792652
154	0.003065629752
155	0.003065433521
156	0.003065308596
157	0.003065143416
158	0.003064982575
159	0.003064834285
160	0.003064667792
161	0.003064518198
162	0.003064300799
163	0.003064099651
164	0.003063942299
165	0.003063731785
166	0.003063562493
167	0.003063428632
168	0.003063315869
169	0.00306309484
170	0.003062886524
171	0.003062716219
172	0.003062502881
173	0.003062317085
174	0.003062195901
175	0.003062028942
176	0.003061875351
177	0.003061748186
178	0.003061566212
179	0.003061390837
180	0.003061272356
181	0.003061096964
182	0.003060972668
183	0.003060801612
184	0.003060654731
185	0.003060526709
186	0.003060337568
187	0.00306018615
188	0.003059987795
189	0.003059842488
190	0.003059607338
191	0.003059480401
192	0.003059266031
193	0.00305910843
194	0.0030589897
195	0.00305887887
196	0.00305878433
197	0.003058597824
198	0.003058449386
199	0.003058312396
200	0.003058196862
201	0.003058063896
202	0.003057936733
203	0.003057832805
204	0.003057677551
205	0.003057513896
206	0.003057398816
207	0.003057244992
208	0.003057140717
209	0.003056975097
210	0.003056832875
211	0.003056705823
212	0.003056580864
213	0.00305640601
214	0.003056310587
215	0.003056198691
216	0.003056108751
217	0.003055974725
218	0.003055841016
219	0.003055636404
220	0.003055453582
221	0.003055266873
222	0.003055127964
223	0.003054930412
224	0.003054761602
225	0.003054675659
226	0.003054522022
227	0.003054401497
228	0.003054253986
